ROUND	SPEAKER	DIALOGUE_ROLE	START_TIME	END_TIME	TOKENS
0	A	INSTRUCTOR	0.0	0.2253	all right
0	A	INSTRUCTOR	1.8087	1.9943	aye
0	B	MANIPULATOR	2.9814	3.2796	NOISE
0	A	INSTRUCTOR	3.3591	3.695	eh
0	B	MANIPULATOR	3.4916	3.6837	NOISE
0	A	INSTRUCTOR	4.1541	6.1283	it says press okay to continue to next turn
0	B	MANIPULATOR	5.519	5.9496	I just
0	B	MANIPULATOR	6.7977	9.4225	uh uh uh uh uh uh
0	A	INSTRUCTOR	7.3079	7.7584	I hit okay
1	A	INSTRUCTOR	9.5075	15.3209	okay top top left hand corner looks like a triangle pointing down with a small triangle in the middle
1	B	MANIPULATOR	10.1502	11.1904	select piece to move
1	B	MANIPULATOR	17.1996	17.718	okay
2	B	INSTRUCTOR	20.3732	24.5707	uh third row down looks like a blue television second from the right
2	A	MANIPULATOR	25.2495	26.4059	uh second from the
2	B	INSTRUCTOR	25.9717	30.3865	navy blue triangle with rectangle on the top two birds
2	A	MANIPULATOR	26.7664	27.4423	yeah
2	B	INSTRUCTOR	30.4316	31.1078	great
3	A	INSTRUCTOR	33.6042	35.3281	uh it sort of looks like it's
3	A	INSTRUCTOR	35.731	40.3749	on the top row there there's an orange shape with a green shape below it like a fluorescent green
3	A	INSTRUCTOR	40.8856	41.6077	on the left hand side
3	A	INSTRUCTOR	42.2225	43.0786	on the left hand side
3	B	MANIPULATOR	44.0459	44.4434	yes
3	A	INSTRUCTOR	46.6166	48.486	it says that you just selected the wrong piece
3	A	INSTRUCTOR	48.8825	49.5224	so it's
3	B	MANIPULATOR	49.6841	50.4488	ah shit
3	B	MANIPULATOR	50.7111	53.3793	on the left hand side there's an orange piece on the second row
3	A	INSTRUCTOR	51.46	51.8205	no
3	A	INSTRUCTOR	52.8119	53.1319	bel-
3	A	INSTRUCTOR	53.2852	53.5407	yeah
3	A	INSTRUCTOR	53.5589	59.1254	and there's an orange piece on the top row and then below it there's like a fluorescent green piece
3	B	MANIPULATOR	55.9452	56.5878	top row
3	A	INSTRUCTOR	59.3408	63.8816	which is eh it's kind of like a right angle at the top left
3	B	MANIPULATOR	59.6224	60.0935	yes
3	B	MANIPULATOR	63.0407	64.4467	you want me to select the green piece
3	A	INSTRUCTOR	64.2685	64.4766	yeah
3	A	INSTRUCTOR	66.1118	66.4331	okay
4	B	INSTRUCTOR	70.5476	79.5843	uh third row down there's a yellow shape pointing towards the left that's just immediately to the left of the purple shape with triangles pointing upwards
4	A	MANIPULATOR	80.3135	82.377	it's the third row down where it is
4	B	INSTRUCTOR	81.2203	81.7755	it's the
4	B	INSTRUCTOR	82.109	84.1712	yeah third row down there's a yellow shape
4	B	INSTRUCTOR	84.7526	86.4208	next to a green shape
4	A	MANIPULATOR	86.6404	87.3704	okay is
4	B	INSTRUCTOR	87.0051	88.6996	next to two green shapes
4	A	MANIPULATOR	88.423	89.3853	kind of looks like a bird
4	B	INSTRUCTOR	89.8011	90.2189	yes
4	B	INSTRUCTOR	92.3517	93.1404	great
5	A	INSTRUCTOR	94.0944	96.4812	okay top left hand corner your TV set
5	B	MANIPULATOR	99.8893	100.6781	okay
6	B	INSTRUCTOR	101.3824	104.9144	uh top left hand corner your hexagon green hexagon
6	A	MANIPULATOR	105.2709	106.1469	eg- uh
6	B	INSTRUCTOR	105.382	107.9822	no an uh NOISE multi edged shape
6	A	MANIPULATOR	107.753	108.3078	ah okay
6	B	INSTRUCTOR	109.6767	110.2902	great
7	A	INSTRUCTOR	111.6253	119.5758	eh it's the left hand side there's two green objects it's the bottom green object on the left hand side it's between the ab- it's by the pale blue
7	B	MANIPULATOR	119.0193	120.0992	okay the darker green
7	A	INSTRUCTOR	120.1854	121.5833	yeah at the bottom yeah beside yeah
8	B	INSTRUCTOR	124.7304	130.5368	okay it's the downward pointing arrow uh second row from the bottom aquamarine
8	A	MANIPULATOR	129.3881	130.0904	looks like a V
8	B	INSTRUCTOR	130.7706	131.4718	looks like a V
8	B	INSTRUCTOR	132.9791	133.5169	great
9	A	INSTRUCTOR	135.3841	137.3631	it's on the left hand side the green shape
9	A	INSTRUCTOR	138.0348	138.9984	the the one one that you're tr-
9	B	MANIPULATOR	138.9022	139.623	like a pentagon
9	A	INSTRUCTOR	139.524	140.3709	yeah or uh
9	B	MANIPULATOR	139.9358	140.3534	mm-hmm
10	B	INSTRUCTOR	143.3678	143.4738	NOISE
10	B	INSTRUCTOR	143.7255	149.1474	uh immediately to the right of that there was another green shape looks like a nose pointing towards the right
10	A	MANIPULATOR	149.7153	151.0294	which where is this sorry
10	B	INSTRUCTOR	150.725	154.0557	there was a face next to the TV screen lime green just above that
10	A	MANIPULATOR	151.7886	154.9423	oh okay yeah so it looks like a person's face looks like a person's face
10	B	INSTRUCTOR	154.3478	155.2828	yes yes
10	B	INSTRUCTOR	157.1525	157.6201	'kay
11	A	INSTRUCTOR	158.6801	165.0168	it's the one that looks like a set of mountains in a sort of orangey orangey color it's eh
11	B	MANIPULATOR	165.2746	166.9399	okay next to above the two blues
11	A	INSTRUCTOR	166.3017	169.543	BREATH above beside the TV sort of diagonally up from the TV shape
11	B	MANIPULATOR	169.0435	169.3941	yeah
12	B	INSTRUCTOR	172.6371	175.5294	it's the top green shape in the center
12	B	INSTRUCTOR	177.1948	179.0354	great NOISE COUGH
13	A	INSTRUCTOR	179.1211	182.3624	it's the top left hand corner the yellow shape sort of looks like a bird
13	B	MANIPULATOR	181.9277	182.2491	great
14	B	INSTRUCTOR	185.4628	188.2968	it's the blue TV screen on the left
14	B	INSTRUCTOR	188.326	188.735	great
15	A	INSTRUCTOR	189.8672	196.1746	it's on the right hand side there is it goes orange green and then a pink shape
15	A	INSTRUCTOR	196.6429	198.9488	the large the large pink shape on the right hand side
15	B	MANIPULATOR	196.9609	197.4998	pink shape
15	B	MANIPULATOR	199.5183	199.8663	uh-huh
16	B	INSTRUCTOR	203.4891	208.7187	it's the green bird at the center uh to the left of the face
16	B	INSTRUCTOR	208.7625	209.1569	great
17	A	INSTRUCTOR	211.279	215.5059	it's the same shape as before the big pink one on the left hand side of the screen
17	B	MANIPULATOR	215.6648	215.9424	great
18	B	INSTRUCTOR	219.8281	222.1507	uh the green bird on the bottom left hand corner
18	B	INSTRUCTOR	223.6481	223.9329	great
19	A	INSTRUCTOR	225.1716	229.2087	it's on the top right there's like an M shaped thing in red
19	A	INSTRUCTOR	229.6978	230.4059	sort of like an M
19	B	MANIPULATOR	231.4196	231.7628	okay
20	B	INSTRUCTOR	233.911	234.1959	BREATH
20	B	INSTRUCTOR	234.2316	239.5853	it's uh the green shape on the bottom right hand corner just above the yellow and blue bird
20	A	MANIPULATOR	240.2176	240.6556	mm-kay
20	B	INSTRUCTOR	240.5276	242.3755	like an like a W
21	A	INSTRUCTOR	243.2399	245.941	okay it's the V in the top left hand corner pale blue
21	B	MANIPULATOR	243.6245	243.7778	mm
22	B	INSTRUCTOR	250.7386	257.0784	it's the American shape the green shape on the second row form the bottom immediately below the TV screen
22	A	MANIPULATOR	257.096	257.5267	okay
22	B	INSTRUCTOR	259.1235	259.3281	yeah
23	A	INSTRUCTOR	260.3884	265.2431	okay it's the the TV screen sort of diagonally up right from it
23	A	INSTRUCTOR	266.0097	268.2509	it's another blue shape with a lot lot of points
23	B	MANIPULATOR	266.1135	266.559	okay
23	B	MANIPULATOR	266.8366	267.0338	blue
23	B	MANIPULATOR	267.2529	267.4939	blue
23	B	MANIPULATOR	267.5961	267.8298	great
24	B	INSTRUCTOR	271.0266	274.3195	it's the purple haunted castle on the bottom right hand corner
24	A	MANIPULATOR	275.0682	276.8872	uh bottom right and corner
