ID	IMAGE	SIZE	COLOR
			RED	GREEN	BLUE	ALPHA	HUE	SATURATION	BRIGHTNESS	JAVA_NAME
1	lozenge	MEDIUM	0	77	255	255	0.61633986	1.0	1.0	-
2	boat	SMALL	88	0	255	255	0.724183	1.0	1.0	-
3	spikes	LARGE	0	241	255	255	0.5091503	1.0	1.0	-
4	arrow	SMALL	113	255	0	255	0.25947714	1.0	1.0	-
5	crown	MEDIUM	228	255	0	255	0.18431373	1.0	1.0	-
6	barn	LARGE	255	185	0	255	0.12091503	1.0	1.0	-
7	monitor	MEDIUM	228	0	255	255	0.8156863	1.0	1.0	-
8	goose	SMALL	0	255	75	255	0.38235295	1.0	1.0	-
9	temple	LARGE	0	255	219	255	0.4764706	1.0	1.0	-
10	rock	SMALL	0	255	178	255	0.4496732	1.0	1.0	-
11	giraffe	MEDIUM	255	140	0	255	0.09150326	1.0	1.0	-
12	head	LARGE	86	255	0	255	0.27712417	1.0	1.0	-
13	bridge	MEDIUM	0	255	167	255	0.44248366	1.0	1.0	-
14	wedge	LARGE	0	255	215	255	0.4738562	1.0	1.0	-
15	chevron	SMALL	0	255	201	255	0.46470585	1.0	1.0	-
16	chicken	MEDIUM	0	151	255	255	0.56797385	1.0	1.0	-
17	mountain	SMALL	255	45	0	255	0.029411763	1.0	1.0	-
18	temple	LARGE	234	0	255	255	0.8196078	1.0	1.0	-
19	mountain	MEDIUM	0	193	255	255	0.5405229	1.0	1.0	-
20	giraffe	SMALL	138	255	0	255	0.24313724	1.0	1.0	-
