DYAD	GAME_ID	GAME_DURATION	ROUND_COUNT	UTT_COUNT	TOKEN_COUNT	UTT_TOKENS_MIN	UTT_TOKENS_MAX	UTT_TOKENS_MEAN	UTT_DURATION_MIN	UTT_DURATION_MAX	UTT_DURATION_MEAN
1	1	12:30.027	37	428	1773	1	28	4.14252336448598	0.0244140625	10.3292999267578	1.37361409731
2	2	13:55.500	30	417	2276	1	62	5.45803357314149	0.041473388671875	14.7276000976563	1.56440518971542
3	3	09:42.555	35	313	1544	1	43	4.93290734824281	0.0523681640625	10.5229034423828	1.38738550850378
4	5	16:27.533	104	411	1976	1	31	4.80778588807786	0.1156005859375	11.8637084960938	1.5572596779705
5	6	14:44.423	73	489	2219	1	28	4.53783231083845	0.09710693359375	7.7239990234375	1.47904140086262
6	7	15:44.559	110	349	1695	1	22	4.8567335243553	0.13299560546875	11.1058959960938	1.66554154775887
7	8	15:37.513	74	286	1562	1	38	5.46153846153846	0.138427734375	12.1089019775391	2.09158503925884
8	11	12:34.981	60	257	1283	1	28	4.99221789883269	0.1181640625	13.435791015625	1.82836006216502
9	12	17:31.177	104	625	2424	1	28	3.8784	0.04669189453125	9.90010070800781	1.27994233093262
10	13	15:52.957	81	405	2592	1	48	6.4	0.080078125	15.4510803222656	1.69512194409783
11	14	17:25.045	133	308	2022	1	29	6.56493506493507	0.086090087890625	9.03669738769531	1.98652758226766
12	16	17:49.135	84	501	2271	1	35	4.53293413173653	0.119500160217285	12.0775756835938	1.5220090919388
13	20	14:59.890	138	340	1410	1	24	4.14705882352941	0.0869140625	6.7236328125	1.36895845637602
14	20	15:37.381	89	397	1858	1	28	4.68010075566751	0.069305419921875	11.0549926757813	1.50616065681131
15	22	13:15.038	73	151	867	1	28	5.74172185430464	0.06768798828125	18.8529968261719	2.95816761294738
16	19	15:8.357	53	384	1905	1	36	4.9609375	0.02313232421875	17.0811767578125	1.6306543747584
17	102	14:49.650	71	173	1482	1	45	8.56647398843931	0.07452392578125	23.9869003295898	3.52389281057898
18	103	16:30.619	87	338	1113	1	26	3.29289940828402	0.0367431640625	9.20489501953125	1.1444419883412
19	105	15:28.084	82	272	1065	1	33	3.91544117647059	0.038597106933594	17.0542907714844	1.7068431763088
20	107	16:0.411	96	252	1311	1	26	5.20238095238095	0.14959716796875	16.2903900146484	2.06926261054145
21	108	15:27.179	67	266	1649	1	38	6.19924812030075	0.11553955078125	20.6640014648437	2.33335493202496
22	109	15:30.902	108	262	1369	1	37	5.22519083969466	0.13568115234375	11.4216003417969	1.92215384781816
23	110	15:32.647	83	167	1266	1	32	7.58083832335329	0.159393310546875	14.8206996917725	2.96227191308301
24	112	16:9.005	94	260	1747	1	38	6.71923076923077	0.21661376953125	18.6262817382812	2.31694461015555
25	113	16:29.579	70	473	1988	1	21	4.20295983086681	0.113006591796875	6.80609130859375	1.44121519052453
26	114	15:19.080	80	349	1411	1	22	4.04297994269341	0.045303344726563	6.99478149414063	1.48787225215005
27	116	15:55.784	105	231	1009	1	25	4.36796536796537	0.020299911499024	10.9983825683594	1.88589767356972
28	117	15:17.618	100	422	1886	1	28	4.46919431279621	0.082611083984375	12.3594970703125	1.45919808844254
29	119	15:21.412	56	613	1881	1	26	3.06851549755302	0.0325927734375	9.38681030273438	1.01850491285713
30	119	15:39.242	69	338	1627	1	38	4.81360946745562	0.050506591796875	16.1947021484375	2.13412821504491
31	125	14:50.008	76	358	1242	1	20	3.46927374301676	0.039306640625	10.4769973754883	1.42299161410199
32	127	15:46.414	65	324	1456	1	37	4.49382716049383	0.097099304199219	21.1819915771484	1.93602148103125
33	128	15:58.314	70	362	1382	1	24	3.81767955801105	0.01531982421875	9.97469997406006	1.26007437574271
34	129	15:49.580	102	365	1492	1	22	4.08767123287671	0.010208129882813	8.72848510742188	1.32369365169577
35	130	15:11.918	81	340	1560	1	33	4.58823529411765	0.072021484375	12.6057014465332	1.71329459302566
36	131	15:27.268	70	367	1474	1	25	4.01634877384196	0.02044677734375	12.815299987793	1.28930082762923
37	132	16:29.562	64	504	1811	1	20	3.59325396825397	0.026298522949219	10.9445190429688	1.26300518853324
38	135	15:48.515	73	298	1303	1	28	4.37248322147651	0.032394409179688	8.01149749755859	1.30638221766325
39	137	16:13.712	49	450	1846	1	36	4.10222222222222	0.030990600585938	8.56300163269043	1.22716226365831
40	138	15:52.411	52	491	1676	1	18	3.41344195519348	0.018600463867188	8.75662231445313	1.0866193149823
41	141	15:50.725	48	276	858	1	15	3.10869565217391	0.0537109375	9.14520263671875	1.29652845341226
42	150	15:49.460	92	330	1303	1	22	3.94848484848485	0.028800964355469	8.69122314453125	1.42193444858898
MIN		09:42.555	30	151	858	1	15	3.06851549755302	0.010208129882813	6.7236328125	1.01850491285713
MAX		17:49.135	138	625	2592	1	62	8.56647398843931	0.21661376953125	23.9869003295898	3.52389281057898
MEAN		15:25.123	78.2857142857143	355.761904761905	1616.28571428571	1	30.2619047619048	4.73271919350795	0.071813288189116	12.3024028369359	1.68685060059955
SUM		647:35.170	3288	14942	67884	42	1271	198.774206127334	3.01615810394287	516.700919151306	70.847725225181
